1, PC1, Q2
1, PC2, Q2
1, PC3, Q2
1, PC4, Q2
1, PC5, Q2
1, PC6, Q2
0, PC1, Q2
1, PC2, Q1
0, PC3, Q2
1, PC4, Q1
B, PC5, Q3
B, PC6, Q3
B, PC1, Q3
B, PC3, Q3
B, PC2, Q3
B, PC4, Q3
1, PC5, Q2
1, PC6, Q2
1, PC1, Q2
0, PC3, Q3
0, PC2, Q3
1, PC4, Q2
1, PC3, Q2
1, PC2, Q2
1, PC5, Q1
1, PC6, Q1
B, PC1, Q3
B, PC4, Q3
B, PC3, Q3
B, PC2, Q3
B, PC5, Q3
B, PC6, Q3
1, PC1, Q2
1, PC4, Q2
1, PC3, Q2
0, PC2, Q3
0, PC5, Q3
0, PC6, Q3
1, PC2, Q2
0, PC5, Q3
0, PC6, Q3
0, PC5, Q3
B, PC1, Q3
B, PC4, Q3
B, PC3, Q3
B, PC2, Q3
1, PC6, Q2
0, PC5, Q3
1, PC1, Q2
1, PC4, Q2
1, PC3, Q2
0, PC2, Q3
0, PC5, Q3
1, PC2, Q2
0, PC5, Q3
E, PC5, QX
B, PC6, Q3
B, PC1, Q3
B, PC4, Q3
B, PC3, Q3
B, PC2, Q3
0, PC6, Q3
1, PC1, Q2
1, PC4, Q2
1, PC3, Q2
E, PC2, QX
1, PC6, Q2
1, PC1, Q1
1, PC4, Q1
0, PC3, Q2
0, PC6, Q2
B, PC3, Q3
B, PC6, Q3
B, PC1, Q3
B, PC4, Q3
0, PC3, Q3
1, PC6, Q2
1, PC1, Q2
E, PC4, QX
0, PC3, Q3
1, PC3, Q2
0, PC6, Q2
0, PC1, Q2
1, PC3, Q1
E, PC6, QX
B, PC1, Q3
B, PC3, Q3
1, PC1, Q2
E, PC3, QX
0, PC1, Q2
E, PC1, QX
